Library,Rank,Overall,Github,Stack Overflow,Google Results
cloudkit,131,-0.692548606212,-0.356666378613,-0.0941633519534,-0.241718875645
csql,132,-0.707955660183,-0.401422723925,-0.135201940935,-0.171330995324
ledisdb,133,-0.715976392347,0.00617132117507,-0.136449185218,-0.585698528304
hibari,134,-0.716520191053,-0.366639935508,-0.136423468841,-0.213456786705
rrdtool,135,-0.724849877679,-0.394548602124,-0.125715387897,-0.204585887657
raptordb,136,-0.743115951804,-0.38440591891,-0.136384829512,-0.222325203382
basex,137,-0.745374220933,-0.274364848326,-0.126336531524,-0.344672841084
infogrid,138,-0.759214423622,-0.401422723925,-0.135947715867,-0.22184398383
smallsql,139,-0.760049380155,-0.401422723925,-0.136333396758,-0.222293259472
resin cache,140,-0.760097024924,-0.401422723925,-0.136230596014,-0.222443704985
djondb,141,-0.760212121293,-0.401422723925,-0.136410610653,-0.222378786715
grakn.ai,142,-0.781728429395,-0.243385541387,-0.136410610653,-0.401932277356
hypergraphdb,143,-0.78648044117,-0.38085422663,-0.136166110781,-0.26946010376
mnesia,144,-0.809353686108,-0.398787455851,-0.122962893634,-0.287603336623
siridb,145,-0.817238823172,-0.350191272726,-0.136449185218,-0.330598365228
neventstore,146,-0.820138510577,-0.129218367956,-0.135315074088,-0.555605068534
altibase,147,-0.822491391914,-0.383205737003,-0.136423468841,-0.302862186069
griddb,148,-0.82394312887,-0.401422723925,-0.136372036087,-0.286148368858
ncache,149,-0.833603352314,-0.341377819965,-0.133218023619,-0.359007508729
modeshape,150,-0.837191036695,-0.301640221602,-0.134077903158,-0.401472911935
newts,151,-0.840620558631,-0.369393595962,-0.132527437729,-0.33869952494
zodb,152,-0.851983693932,-0.35862012674,-0.130728945429,-0.362634621763
amazon aurora,153,-0.866428627546,-0.396152814611,-0.13498335173,-0.335292461205
hypersql,154,-0.870951573998,-0.398672824471,-0.135291235855,-0.336987513672
dataease,155,-0.873595395938,-0.401422723925,-0.136410610653,-0.33576206136
nanolat,156,-0.875852891168,-0.397927407085,-0.13643632703,-0.341489157054
4store,157,-0.879479998773,-0.35272131192,-0.135817903474,-0.390940783379
blazegraph,158,-0.88220488439,-0.392252213524,-0.134593331679,-0.355359339187
openqm,159,-0.883953190736,-0.401078829785,-0.136449185218,-0.346425175733
scidb,160,-0.890609478575,-0.401422723925,-0.136294627902,-0.352892126748
luciddb,161,-0.891902576048,-0.391855078111,-0.136384894276,-0.363662603662
strabon,162,-0.891983432455,-0.400391668338,-0.136423468841,-0.355168295276
torodb,163,-0.898835373608,-0.400219407852,-0.136384764748,-0.362231201008
rdf4j,164,-0.908425945018,-0.372949049242,-0.134889911941,-0.400586983836
tinkergraph,165,-0.909738253013,-0.401422723925,-0.135355850615,-0.372959678473
senseidb,166,-0.91887928121,-0.401422723925,-0.136410610653,-0.381045946632
ejdb,167,-0.923907066943,-0.254153369108,-0.136281769713,-0.533471928122
frontbase,168,-0.932998412895,-0.401422723925,-0.135124403222,-0.396451285748
iboxdb,169,-0.93878547406,-0.401422723925,-0.136397752464,-0.400964997671
tokyo cabinet,170,-0.939225820014,-0.401422723925,-0.133756837028,-0.404046259061
extremedb,171,-0.944524052756,-0.401422723925,-0.136384894276,-0.406716434555
infinidb,172,-0.969853484739,-0.340123143119,-0.13545703227,-0.494273309351
manticore search,173,-0.977278153195,-0.380395701109,-0.136359177899,-0.460523274187
mulgara,174,-0.979805490723,-0.396036929565,-0.136384894276,-0.447383666883
rasdaman,175,-0.984753619148,-0.399933142818,-0.136320603333,-0.448499872997
whitedb,176,-0.987401312269,-0.33099835199,-0.136449185218,-0.519953775061
hawkular metrics,177,-0.987601669139,-0.351408379133,-0.136256312391,-0.499936977615
perst,178,-0.990998212097,-0.401422723925,-0.136269170579,-0.453306317593
dataphor,179,-0.992268478979,-0.395406770391,-0.13643632703,-0.460425381558
actordb,180,-0.994235985039,-0.265600209442,-0.136423468841,-0.592212306755
cachelot.io,181,-0.998027261275,-0.401021827512,-0.136449185218,-0.460556248546
wakandadb,182,-0.998333356407,-0.401422723925,-0.136449185218,-0.460461447263
oracle berkeley db,183,-1.02027853996,-0.401422723925,-0.135806275794,-0.48304954024
upscaledb,184,-1.03737759526,-0.338446257524,-0.136449185218,-0.562482152516
pyrrho,185,-1.05394117889,-0.401422723925,-0.13643632703,-0.516082127932
brightstardb,186,-1.06131217447,-0.330090076617,-0.136307421327,-0.594914676525
blueflood,187,-1.07697231787,-0.301664001707,-0.136423468841,-0.638884847322
sitewhere,188,-1.10321923663,-0.327983499838,-0.136384894276,-0.638850842514
tayzgrid,189,-1.12609280952,-0.398329557165,-0.136449185218,-0.591314067135
txtsql,190,-1.12636679228,-0.401422723925,-0.136294886956,-0.588649181395
bangdb,191,-1.14193180544,-0.398557566258,-0.136410610653,-0.606963628533
redstore,192,-1.14603237599,-0.394374461138,-0.136423468841,-0.615234446011
