toolkit,full_name,forks,stars,so_tag_counts,so_question_count,growth_rate,search_results,market_cap_value,thirty_day_market_cap_growth,thirty_day_volume
pivx,PIVX-Project/PIVX,260,269,,16,1.64814814815,87100,278186080.0,51195000.0,182520455
mithril,,0,0,,192,1.94736842105,46500,271194692.0,137614000.0,4774949220
kyber-network,kybernetwork,18,36,,0,2.07920792079,61300,262558048.0,110265000.0,1056026062
fusion,boostorg/fusion,37,26,,0,2.33333333333,437000,246196203.0,155962000.0,184297726
cryptonex,Cryptonex,0,0,,0,2.09090909091,48600,242667001.0,-11010000.0,48893387
elastos,elastos/Elastos,6,12,,1,1.8961038961,44400,240038975.0,58093000.0,612464217
gas,,0,0,,0,2.64516129032,1970,238764289.0,56476000.0,202451901
bancor,,0,0,,2,2.36690647482,92600,232865710.0,104040000.0,513617345
cortex,,0,0,,0,2.33333333333,92800,229395166.0,,2251555118
monacoin,monacoinproject/monacoin,74,240,,0,1.86324786325,67400,226845819.0,22671000.0,128848972
ethos,d11e9/ethos,5,9,,92,2.06578947368,212000,226072312.0,50855000.0,361558842
reddcoin,reddcoin-project/reddcoin,99,255,,3,1.79411764706,77500,225424724.0,70873000.0,736454190
substratum,substratum/substratum,108,287,,7,1.69444444444,58300,220544258.0,13004000.0,361033396
funfair,funfair-tech,0,0,,5,1.82242990654,61700,215770412.0,27737000.0,243251372
gxchain,gxchain,41,147,,0,2.05660377358,26300,215382600.0,44868000.0,430840481
skycoin,skycoin/skycoin,209,393,,0,1.88888888889,49100,210870671.0,87169000.0,52736273
qash,,0,0,,2,1.86086956522,63400,209460650.0,-9802000.0,112549801
centrality,,0,0,,0,1.75342465753,44300,199738737.0,-7000.0,11082220
power-ledger,,0,0,,9,1.72566371681,61000,199108926.0,15485000.0,427556839
syscoin,syscoin/syscoin,19,66,,1,2.20353982301,70900,197064516.0,5381000.0,226015607
dragonchain,dragonchain/dragonchain,142,576,,0,1.98076923077,60500,193754066.0,-21159000.0,104624745
enigma-project,enigmapc,0,1,,31,1.18032786885,831,192400054.0,73679000.0,297097349
wax,,0,0,,0,2.45205479452,235000,190588986.0,2936000.0,198716573
cybermiles,CyberMiles/cybermiles-token,1,8,,0,1.74725274725,41700,189955386.0,133314400.0,1761671846
kin,kinecosystem/kin-token,20,59,,0,2.42931937173,310000,186834732.0,99318000.0,41801600
matrix-ai-network,webdrmarin/matrix_fansite,0,0,,11,2.06451612903,40300,185457000.0,89333000.0,58050326
storm,,0,0,,0,5.29166666667,909000,185179614.0,35571000.0,2902290074
nuls,nuls-io/nuls,53,222,,1210,2.08256880734,66500,180944800.0,109080700.0,508524125
veritaseum,veritaseum,8,2,,0,2.02083333333,59100,179544756.0,-45269000.0,21688066
salt,,0,0,,0,2.25961538462,632000,175026979.0,33840000.0,291271404
zcoin,zcoinofficial/zcoin,211,291,,3,1.19277108434,86200,172328056.0,38860000.0,75173641
chainlink,smartcontractkit/chainlink,28,206,,24,1.70408163265,55800,171608150.0,32493000.0,310848054
