toolkit,full_name,forks,stars,so_tag_counts,so_question_count,growth_rate,search_results
kyoto tycoon,,0,0,,7.0,3.8,213
ledisdb,siddontang/ledisdb,295,2524,,0.0,-0.526315789474,175
leveldb,google/leveldb,3371,13600,280.0,618.0,1.02739726027,10700
libreoffice base,,0,0,105.0,247.0,1.35483870968,3650
litedb,mbdavid/LiteDB,524,2860,48.0,58.0,0.36036036036,1160
lokijs,techfort/LokiJS,339,4072,88.0,111.0,1.7,581
lovefield,google/lovefield,343,5818,10.0,14.0,1.94366197183,1340
luciddb,LucidDB/luciddb,13,38,,5.0,0.404761904762,510
manticore search,manticoresoftware/manticoresearch,25,96,,7.0,0.0,38
mapd,mapd/mapd-core,193,1433,,32.0,4.41935483871,5420
mapdb,jankotek/mapdb,678,3104,84.0,144.0,1.32407407407,1530
mariadb,,0,0,4553.0,8124.0,1.27906976744,562000
memcached,memcached/memcached,2347,7667,4759.0,8894.0,1.30263157895,202000
mnesia,erlang-labs/mnesia,4,9,367.0,680.0,0.717105263158,2150
modeshape,ModeShape/modeshape,196,185,83.0,101.0,0.244897959184,756
monetdb,MonetDB/MonetDB,33,144,340.0,371.0,11.7307692308,8300
mongodb,mongodb/mongo,3553,13662,98445.0,98435.0,0.592920353982,1080000
msql,mick88/MSQLite,4,15,,803.0,1.56666666667,11500
mulgara,quoll/mulgara,6,26,,5.0,0.0526315789474,628
mysql,,0,0,517409.0,517388.0,-5.17021276596,6120000
nanolat,Nanolat/nldb,3,20,,1.0,0.5,22
ncache,Alachisoft/NCache,70,279,58.0,193.0,0.417085427136,2180
neo4j,neo4j/neo4j,1340,5022,15675.0,17026.0,1.51111111111,65900
netezza,,0,0,966.0,1077.0,1.97701149425,28900
neventstore,NEventStore/NEventStore,327,1231,40.0,48.0,-0.4,192
newts,OpenNMS/newts,33,164,,305.0,0.46875,9950
nosdb,Alachisoft/NosDB,21,27,2.0,2.0,2.25,263
openoffice.org base,,0,0,,24.0,1.77777777778,875
openqm,gregjurman/openqm,0,3,,0.0,0.478260869565,255
opentsdb,OpenTSDB/opentsdb,933,3032,220.0,273.0,1.42181818182,4320
oracle berkeley db,,0,0,,50.0,-0.0989010989011,1030
orientdb,orientechnologies/orientdb,731,3455,2372.0,2573.0,1.91071428571,9320
origodb,DevrexLabs/OrigoDB,27,113,2.0,2.0,2.0,82
percona server for mongodb,percona/percona-server-mongodb,23,69,,11.0,1.58620689655,2640
percona server for mysql,percona/percona-server,180,423,,229.0,1.23456790123,3460
perst,,0,0,,14.0,0.025974025974,1040
pipelinedb,pipelinedb/pipelinedb,141,1675,41.0,49.0,1.18918918919,623
postgresql,postgres/postgres,1335,3913,84132.0,84120.0,0.88,1650000
pouchdb,pouchdb/pouchdb,1060,10503,1165.0,1429.0,2.21212121212,5290
prestodb,prestodb/presto,2511,7459,358.0,371.0,1.97478991597,2050
project voldemort,voldemort/voldemort,528,2079,,27.0,0.727272727273,663
prometheus,prometheus/prometheus,2044,16196,664.0,910.0,1.91780821918,162000
pyrrho,,0,0,,1.0,-0.236111111111,678
raptordb,mgholam/RaptorDB-Document,19,82,1.0,4.0,1.0,132
rasdaman,dioptre/rasdaman,2,6,,10.0,0.047619047619,703
ravendb,ravendb/ravendb,678,1907,2244.0,2520.0,2.26530612245,7740
rdf4j,eclipse/rdf4j,39,112,53.0,68.0,0.247619047619,987
