toolkit,so_tag_counts,so_question_count
tensorflow,16462.0,17641
keras,4098.0,4529
theano,2329.0,2935
caffe,2191.0,2636
torch,774.0,1848
dlib,421.0,625
cntk,301.0,316
tflearn,245.0,372
lasagne,227.0,353
pytorch,224.0,249
mxnet,206.0,238
deeplearning4j,139.0,198
nvidia digits,68.0,90
matconvnet,58.0,99
chainer,49.0,940
caffe2,26.0,34
nervana neon,3.0,4
sonnet,1.0,46
opennn,1.0,13
apache singa,,1
bigdl,,3
paddlepaddle,,8
dynet,,2
